Year,Average Life Expectancy (Years)
Life Expectancy for Both Sexes Over The Last 114 Years,
Data from https://catalog.data.gov/dataset/age-adjusted-death-rates-and-life-expectancy-at-birth-all-races-both-sexes-united-sta-1900,
2014,78.9
2013,78.8
2012,78.8
2011,78.7
2010,78.7
2009,78.5
2008,78.2
2007,78.1
2006,77.8
2005,77.6
2004,77.5
2003,77.6
2002,77
2001,77
2000,76.8
1999,76.7
1998,76.7
1997,76.5
1996,76.1
1995,75.8
1994,75.7
1993,75.5
1992,75.8
1991,75.5
1990,75.4
1989,75.1
1988,74.9
1987,74.9
1986,74.7
1985,74.7
1984,74.7
1983,74.6
1982,74.5
1981,74.1
1980,73.7
1979,73.9
1978,73.5
1977,73.3
1976,72.9
1975,72.6
1974,72
1973,71.4
1972,71.2
1971,71.1
1970,70.8
1969,70.5
1968,70.2
1967,70.5
1966,70.2
1965,70.2
1964,70.2
1963,69.9
1962,70.1
1961,70.2
1960,69.7
1959,69.9
1958,69.6
1957,69.5
1956,69.7
1955,69.6
1954,69.6
1953,68.8
1952,68.6
1951,68.4
1950,68.2
1949,68
1948,67.2
1947,66.8
1946,66.7
1945,65.9
1944,65.2
1943,63.3
1942,66.2
1941,64.8
1940,62.9
1939,63.7
1938,63.5
1937,60
1936,58.5
1935,61.7
1934,61.1
1933,63.3
1932,62.1
1931,61.1
1930,59.7
1929,57.1
1928,56.8
1927,60.4
1926,56.7
1925,59
1924,59.7
1923,57.2
1922,59.6
1921,60.8
1920,54.1
1919,54.7
1918,39.1
1917,50.9
1916,51.7
1915,54.5
1914,54.2
1913,52.5
1912,53.5
1911,52.6
1910,50
1909,52.1
1908,51.1
1907,47.6
1906,48.7
1905,48.7
1904,47.6
1903,50.5
1902,51.5
1901,49.1
2014,81.3
2013,81.2
2012,81.2
2011,81.1
2010,81
2009,80.9
2008,80.6
2007,80.6
2006,80.3
2005,80.1
2004,80.1
2003,79.7
2002,79.6
2001,79.5
2000,79.7
1999,79.4
1998,79.5
1997,79.4
1996,79.1
1995,78.9
1994,79
1993,78.8
1992,79.1
1991,78.9
1990,78.8
1989,78.5
1988,78.3
1987,78.3
1986,78.2
1985,78.2
1984,78.2
1983,78.1
1982,78.1
1981,77.8
1980,77.4
1979,77.8
1978,77.3
1977,77.2
1976,76.8
1975,76.6
1974,75.9
1973,75.3
1972,75.1
1971,75
1970,74.7
1969,74.4
1968,74.1
1967,74.3
1966,73.9
1965,73.8
1964,73.7
1963,73.4
1962,73.5
1961,73.6
1960,73.1
1959,73.2
1958,72.9
1957,72.7
1956,72.9
1955,72.8
1954,72.8
1953,72
1952,71.6
1951,71.4
1950,71.1
1949,70.7
1948,69.9
1947,69.7
1946,69.4
1945,67.9
1944,66.8
1943,64.4
1942,67.9
1941,66.8
1940,65.2
1939,65.4
1938,65.3
1937,62.4
1936,60.6
1935,63.9
1934,63.3
1933,65.1
1932,63.5
1931,63.1
1930,61.6
1929,58.7
1928,58.3
1927,62.1
1926,58
1925,60.6
1924,61.5
1923,58.5
1922,61
1921,61.8
1920,54.6
1919,56
1918,42.2
1917,54
1916,54.3
1915,56.8
1914,56.8
1913,55
1912,55.9
1911,54.4
1910,51.8
1909,53.8
1908,52.8
1907,49.9
1906,50.8
1905,50.2
1904,49.1
1903,52
1902,53.4
1901,50.6
2014,76.5
2013,76.4
2012,76.4
2011,76.3
2010,76.2
2009,76
2008,75.6
2007,75.5
2006,75.2
2005,75
2004,75
2003,74.5
2002,74.4
2001,74.3
2000,74.3
1999,73.9
1998,73.8
1997,73.6
1996,73.1
1995,72.5
1994,72.4
1993,72.2
1992,72.3
1991,72
1990,71.8
1989,71.7
1988,71.4
1987,71.4
1986,71.2
1985,71.1
1984,71.1
1983,71
1982,70.8
1981,70.4
1980,70
1979,70
1978,69.6
1977,69.5
1976,69.1
1975,68.8
1974,68.2
1973,67.6
1972,67.4
1971,67.4
1970,67.1
1969,66.8
1968,66.6
1967,67
1966,66.7
1965,66.8
1964,66.8
1963,66.6
1962,66.9
1961,67.1
1960,66.6
1959,66.8
1958,66.6
1957,66.4
1956,66.7
1955,66.7
1954,66.7
1953,66
1952,65.8
1951,65.6
1950,65.6
1949,65.2
1948,64.6
1947,64.4
1946,64.4
1945,63.6
1944,63.6
1943,62.4
1942,64.7
1941,63.1
1940,60.8
1939,62.1
1938,61.9
1937,58
1936,56.6
1935,59.9
1934,59.3
1933,61.7
1932,61
1931,59.4
1930,58.1
1929,55.8
1928,55.6
1927,59
1926,55.5
1925,57.6
1924,58.1
1923,56.1
1922,58.4
1921,60
1920,53.6
1919,53.5
1918,36.6
1917,48.4
1916,49.6
1915,52.5
1914,52
1913,50.3
1912,51.5
1911,50.9
1910,48.4
1909,50.5
1908,49.5
1907,45.6
1906,46.9
1905,47.3
1904,46.2
1903,49.1
1902,49.8
1901,47.6
